,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_date_initial,hit
10,5CTcwxeKEbuM8PRDO6pWi4,Sta Bi,45,203233,0,"['MC Stojan', 'Aleksandra Prijovic']","['5POPLEqoZcENY4ZNXQWZHB', '4yvRXgtIPiDMzH3wb1JPh7']",2015-12-22,0.669,0.966,6,-2.256,0,0.0768,0.222,0.0,0.344,0.8270000000000001,179.861,4,2015,0
11,51aYPHVdOL9sIPOZj9dlXK,Be Honest,54,207031,0,"['Jorja Smith', 'Burna Boy']","['1CoZyIx7UvdxT5c8UkMzHd', '3wcj11K77LjEY1PkEazffa']",2019-11-20,0.767,0.746,4,-5.891,0,0.106,0.344,0.0,0.11,0.635,98.04,4,2019,1
12,6LFdJFM0Ysevw537mGxVmb,Super Trapper,33,146522,1,['Mad Clip'],['3KcZf8BFeFBtnGyOZmUggd'],2019-05-28,0.8320000000000001,0.47,10,-7.7170000000000005,0,0.345,0.47100000000000003,2.7000000000000002e-05,0.11699999999999999,0.5870000000000001,138.037,4,2019,1
13,12HTN8E5QBJyQXNP6jfZ5U,Na vlastní kůži,30,222140,1,['Protiva'],['2Bu87vdMT0plbktpNoHBr7'],2016-01-01,0.88,0.602,0,-5.89,1,0.255,0.115,8.97e-06,0.14400000000000002,0.815,89.031,4,2016,0
14,5L7CKOiQa97UvDAshib8ND,Unterwegs,37,171107,0,['Erich-Weinert-Ensemble'],['6tuPwxuo1bWYs5N9z4vDXM'],1990-01-01,0.637,0.507,2,-11.899000000000001,0,0.21,0.17,0.9229999999999999,0.392,0.711,133.511,4,1990,1
15,6oDHrmFilzKzuK8JvvXgdz,El Me Ayudará,18,169691,0,['Katty Mazariegos'],['5ioXnzmlDbVMC7mnZ0gD7V'],1999-01-01,0.7440000000000001,0.45,5,-12.055,1,0.0342,0.027999999999999997,0.0,0.131,0.8959999999999999,103.573,4,1999,0
16,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,94,198371,0,['Giveon'],['4fxd5Ee7UefO4CUXgwJ7IP'],2020-03-27,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.5429999999999999,89.087,3,2020,1
17,7HC7R2D8WjXVcUHJyEGjRs,Breathe (feat. Colbie Caillat) (Taylor’s Version),77,263377,0,"['Taylor Swift', 'Colbie Caillat']","['06HL4z0CvFAxyc27GXpf02', '6aZyMrc4doVtZyKNilOmwu']",2021-04-09,0.506,0.626,1,-6.066,1,0.0287,0.156,0.0,0.228,0.321,148.035,4,2021,1
18,645YBsxhFPSOKxGep3uHLv,Love Maze,72,221529,0,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],2018-05-18,0.636,0.8759999999999999,9,-4.652,1,0.0617,0.0487,0.0,0.0728,0.759,149.93200000000002,4,2018,1
19,36DHxTW2xdr9GG15T9oK9L,EL MUNDO ES MÍO,73,165199,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2020-11-27,0.716,0.522,5,-6.834,1,0.0582,0.166,6.500000000000001e-05,0.113,0.22399999999999998,76.993,4,2020,1
20,2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),80,163902,1,"['Polo G', 'Juice WRLD']","['6AgTAQt8XS6jRWi4sX7w49', '4MCBfE4596Uoi2O4DtmEMz']",2020-05-15,0.752,0.6729999999999999,10,-5.792000000000001,0,0.153,0.0538,0.0,0.133,0.35,164.00900000000001,4,2020,1
21,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,78,223523,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],2019-05-31,0.77,0.882,8,-4.792,1,0.0602,0.19399999999999998,0.0,0.316,0.385,99.991,4,2019,1
22,6TYiCJYuEZCYCLZA3xhXxV,Life Is Worth Living,3,234787,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-04-09,0.5579999999999999,0.29600000000000004,10,-9.18,1,0.0426,0.907,0.0,0.10800000000000001,0.46299999999999997,76.04,4,2021,0
23,4sWuPniHClkInYAnzXAYUF,Camelot,75,148759,1,['NLE Choppa'],['0ErzCpIMyLcjPiwT4elrtZ'],2019-09-13,0.787,0.713,7,-5.252000000000001,1,0.401,0.0849,0.0,0.7170000000000001,0.7609999999999999,175.046,4,2019,1
24,4wYJHjWVZZYEUc1dNXNwFd,"Te duceam la Han,te duceam la Mia",44,209557,0,['Costel Biju'],['1XDujSZXKFYhL3lb9HLHHY'],2020-12-03,0.716,0.866,11,-4.13,0,0.0815,0.0269,1.56e-05,0.0749,0.696,179.989,4,2020,0
25,5n6gBhdEjCuj3obgCoTEFD,That’s It,72,228796,1,"['Future', 'Lil Uzi Vert']","['1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",2020-11-13,0.94,0.532,11,-5.997999999999999,0,0.358,0.12,0.0,0.0925,0.599,123.04299999999999,4,2020,1
26,3DGar7krWlmrXRFHBcQF6z,Whenever (feat. Conor Maynard),68,163636,1,"['Kris Kross Amsterdam', 'The Boy Next Door', 'Conor Maynard']","['4LcUpNlXFEleaLlelmkv2R', '4QfOh8rJ0OddhhXHD5QyWs', '6mU8ucezzms5I2kNH6HNlu']",2018-06-22,0.7340000000000001,0.765,7,-5.562,1,0.0621,0.151,0.0,0.231,0.518,109.98899999999999,4,2018,1
27,1LcamZT5KvU8hEjgbupcC9,Tagkolita,0,189933,0,['Xristina Euthimiadou'],['0tmXotqbmbujtrMtvFmOOU'],1930-01-01,0.247,0.595,4,-5.303,1,0.0492,0.991,0.0192,0.146,0.39299999999999996,88.73100000000001,3,1930,0
28,1rp986nzkyAX1wFpxzbwlC,Replay,62,213827,0,['SHINee'],['2hRQKC0gqlZGPrmUKbcchR'],2008-08-28,0.716,0.779,1,-2.2030000000000003,1,0.0805,0.17800000000000002,1.16e-06,0.16699999999999998,0.59,99.977,4,2008,1
29,0xEL02deWgEMWNXGcq6egf,To be grateful,9,156131,0,['Trúbrot'],['01w8eDOz2L9SFgv1ukZPRv'],2001-01-01,0.42200000000000004,0.253,4,-9.357999999999999,1,0.033,0.496,0.0,0.0925,0.18600000000000003,140.148,4,2001,0
30,6jTmcVh73XaKAklNSVX7jA,Schottkey 7th Path,42,308720,0,['Aphex Twin'],['6kBDZFXuLrZgHnvmPu9NsG'],1992-02-10,0.62,0.6559999999999999,11,-14.831,1,0.0348,0.805,0.9640000000000001,0.0775,0.0704,134.958,4,1992,0
31,643EK8X3hzx4PhEQW8zxKL,Omry Maak,34,326806,0,['Angham'],['0IiR4LJwslf6HBSdk9W3Dg'],2003-01-01,0.64,0.831,7,-9.43,1,0.0608,0.0475,3.4e-06,0.217,0.569,115.00299999999999,4,2003,0
32,5grrpaTEfSHcF1VxJyOQjX,What Is This Thing Called Love (08-14-45),2,186173,0,['Billie Holiday'],['1YzCsTRb22dQkh9lghPIrp'],1948,0.49700000000000005,0.278,1,-9.956,1,0.0376,0.9740000000000001,0.00134,0.23399999999999999,0.45399999999999996,119.03,3,1948,0
33,7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,87,119133,1,['XXXTENTACION'],['15UsOTVnJzReFVN1VCnxy4'],2017-08-25,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.43700000000000006,134.02100000000002,4,2017,1
34,3tb0C4XzIThdPygpWiqRGi,Stafakarlinn Á,13,82431,0,['Stafakarlarnir'],['6bnrIqRxR7a0nUEzH4DgON'],2008-01-01,0.68,0.451,0,-9.725,0,0.473,0.183,0.11599999999999999,0.11599999999999999,0.785,171.826,4,2008,0
35,1fQAJdZ4E9hlPlhqL1Ug4Z,Ideas for the Sacred,0,245629,0,['Latte Chill'],['3TcWMrT4GT6H95mspFncxF'],2009-12-16,0.591,0.597,11,-10.795,0,0.0279,0.0327,0.0226,0.0728,0.0953,134.993,4,2009,0
36,7aSauR0ZuCwLJ7e1HqLUUe,Be Careful,25,210787,0,['Cardi B'],['4kYSro6naA4h99UJvo89HB'],2021-04-02,0.8190000000000001,0.568,6,-8.231,0,0.41100000000000003,0.0252,0.0,0.0952,0.535,152.284,4,2021,1
37,1Yilkx54zDH1UINcnknFQR,In the Year 3000 (feat. Word Iz),0,216034,1,['Snake Peters'],['1y0Wf8a5BUoSxb1ky2RNJZ'],2010-11-10,0.42100000000000004,0.644,10,-5.379,1,0.231,0.0878,0.0,0.0772,0.583,75.059,4,2010,0
38,0TIyShy7sZ2SOiDihDmlc5,Datanglah Dan Bertahta (Great is Our God) - Live,44,360019,0,['NDC Worship'],['1KManG7vhvMuL6FhkgRi1E'],2017-06-17,0.531,0.885,2,-5.307,1,0.0571,0.2,1.4599999999999999e-05,0.895,0.391,141.995,4,2017,0
39,3F4DRSsrYQEeAKRHt2Lg14,吉原ラメント,41,233280,0,['WagakkiBand'],['3PzqP5IkpLhlSdZLh7jwPn'],2014-04-23,0.552,0.9159999999999999,0,-2.519,0,0.0484,0.17300000000000001,0.0006389999999999999,0.263,0.8109999999999999,95.99,4,2014,0
40,55RKFG7gBmcOpmkvOORxVk,"Rackham den Rödes skatt, del 30",24,33867,0,"['Tintin', 'Tomas Bolme', 'Bert-Åke Varg']","['6aMD1KAa5i3Myy61cR8FiW', '7HjbJ8V87zrxkSzL1KieQk', '71ADe4Zg9UyE8WQEHbJSXM']",1974-07-10,0.698,0.38799999999999996,2,-15.085999999999999,1,0.929,0.833,0.0,0.723,0.581,83.43,1,1974,0
41,0phGofl3ppS5Itk1zM9eKa,Ghostbusters,48,245600,0,['Ray Parker Jr.'],['0NyzfcGDZZ6GM25EBG9BYK'],1984-06-08,0.787,0.588,6,-14.228,0,0.0355,0.0192,0.0205,0.34700000000000003,0.8029999999999999,115.51299999999999,4,1984,1
42,3KqfQXgI1NcRR4frqDwx2Z,Meditaçäo,24,105947,0,['João Gilberto'],['77ZUbcdoU5KCPHNUl8bgQy'],1961,0.33899999999999997,0.26,6,-12.731,0,0.0311,0.892,1.4e-06,0.16399999999999998,0.413,156.875,4,1961,0
43,3sV25L24OgudtxeCMUMEQX,West Side Story: Finale,30,262027,0,"['Leonard Bernstein', 'Johnny Green', 'West Side Story Orchestra', 'Marni Nixon']","['2LmyJyCF5V1eQyvHgJNbTn', '0mzeuEu2tXNjhVNc1sKVWI', '2y0ch4gqc0z7SMWsjHWL5F', '2Npf96k0QoY8YYwqnELDmQ']",1961,0.19899999999999998,0.136,11,-28.83,1,0.085,0.8270000000000001,0.272,0.746,0.11800000000000001,78.085,1,1961,0
44,0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),80,275080,1,"['SZA', 'Travis Scott']","['7tYKF4w9nC0nq9CsPZTHyP', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-06-09,0.795,0.594,0,-6.2,1,0.0748,0.11199999999999999,0.0,0.162,0.409,135.002,4,2017,1
45,4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo),82,144391,0,"['Martin Garrix', 'Tove Lo']","['60d24wfXkVzDSfLS6hyCjZ', '4NHQUGzhtTLFvgF5SZesLK']",2021-02-05,0.8590000000000001,0.5579999999999999,7,-8.991,0,0.0902,0.659,0.324,0.124,0.35700000000000004,114.978,4,2021,1
46,752q3k1ds8JckA7tIakICn,Terra Titanic,54,274706,0,['Peter Schilling'],['7ip3CWlgPZbQHvgJpmcGSS'],1983-06-27,0.772,0.557,5,-7.702999999999999,1,0.0352,0.0303,0.0,0.0973,0.627,122.16799999999999,4,1983,0
47,2Yer0p7uB2lVBUAtANuuQp,Magic In The Hamptons (feat. Lil Yachty),80,164640,0,"['Social House', 'Lil Yachty']","['5UjifI1TYefXWn9GdqDOHl', '6icQOAFXDZKsumw3YXyusw']",2018-06-08,0.769,0.479,1,-5.3389999999999995,1,0.0385,0.66,0.0,0.0914,0.8029999999999999,96.051,4,2018,1
48,39vUhDLotzzQ9cTEqztrV6,Nečekej Už Dál,3,184427,0,"['Greenhorns', 'Michal Tučný']","['0wVzM4qVLXBdM5uaFbc663', '66kCIGAsY1Tcrs2ihN2U1P']",1971,0.581,0.469,4,-12.158,1,0.0301,0.193,1.6100000000000002e-05,0.159,0.9620000000000001,121.823,4,1971,0
49,6pLHAGyn754FC0FcuskSRm,No Jauna,24,265509,0,['Fakts'],['6Slrk3k4iZwJfRzmJpZ8KZ'],2015-01-27,0.5379999999999999,0.83,7,-7.9639999999999995,1,0.128,0.0308,7.47e-05,0.17300000000000001,0.40399999999999997,145.904,4,2015,0
50,41L3O37CECZt3N7ziG2z7l,Yummy,76,210427,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2020-01-03,0.687,0.514,9,-6.612,0,0.0897,0.366,0.0,0.11599999999999999,0.494,145.921,4,2020,1
51,3yDjQV1aiejwyUToerS9VH,1 Hari Yang Cerah,43,190145,0,['Budi Doremi'],['6Ifk2cbxyVzT41jLexYCas'],2012-01-27,0.597,0.725,7,-5.968999999999999,1,0.0384,0.42,0.0,0.12,0.721,154.988,4,2012,0
52,5NHcHnHvFZkp5G6RsWMhpT,Sistema Nervoso,18,182693,0,['Wilson Simonal'],['6DqFCzjARUV3xH9meu3Bya'],1970-01-01,0.436,0.14300000000000002,9,-18.457,0,0.0321,0.8220000000000001,0.0063100000000000005,0.153,0.179,102.277,3,1970,0
53,6k1NlbXRqTu51DiDJ7Mwwf,Wildflower,39,234307,0,['Hank Crawford'],['543js1lXeFxJKXqxC6XgT7'],1973,0.491,0.609,5,-8.486,1,0.0461,0.529,0.00838,0.426,0.614,90.09,4,1973,1
54,6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,72,207307,0,['Maluma'],['1r4hJ1h58CWwUQe3MxPuau'],2015-10-30,0.73,0.701,5,-5.885,0,0.106,0.132,0.0,0.151,0.785,175.95,4,2015,1
55,684EjRHwNsZQ9hCQxL4NYL,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",67,233113,0,"['Dímelo Flow', 'Nicky Jam', 'Sech', 'Farruko', 'Zion', 'Lunay']","['3fZk3Gm5dN5v5yfYMQ04Bx', '1SupJlEpv7RS2tPNRaHViT', '77ziqFxp5gaInVrF2lj4ht', '329e4yvIujISKGKz1BZZbO', '1pgDilWYDWLoOgGjf1iHNu', '47MpMsUfWtgyIIBEFOr4FE']",2019-08-30,0.747,0.647,9,-3.234,1,0.0737,0.113,0.0,0.11199999999999999,0.478,87.988,4,2019,1
56,17vGPZ5EsdvtgAOCD4FLWI,AP - Music from the film Boogie,83,171892,1,['Pop Smoke'],['0eDvMgVFoNV3TpwtrVCoTj'],2021-02-26,0.7509999999999999,0.7440000000000001,1,-6.859,1,0.177,0.152,0.0005679999999999999,0.252,0.634,148.014,4,2021,1
57,2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,84,257267,0,['OneRepublic'],['5Pwc4xIPtQLFEnJriah9YJ'],2013-01-01,0.664,0.705,1,-4.9719999999999995,0,0.0382,0.0654,0.0,0.11800000000000001,0.47700000000000004,122.016,4,2013,1
58,6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,79,163253,0,['Portugal. The Man'],['4kI8Ie27vjvonwaB2ePh8T'],2017-06-16,0.8009999999999999,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,2017,1
59,4beQKDH9auYgNjYpIPmReH,West Virginia Symphony,19,207467,0,['The Dells'],['0wbrRIw2po5DV4LeaHw55S'],1976-01-01,0.764,0.59,10,-10.725,1,0.0468,0.00237,0.0,0.222,0.871,120.801,4,1976,0
60,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),86,205485,1,"['Juice WRLD', 'Marshmello']","['4MCBfE4596Uoi2O4DtmEMz', '64KEffDW9EtZ1y2vBYgq8T']",2020-07-10,0.625,0.8140000000000001,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,4,2020,1
61,74lnM5V6ecvoTPV0fvptx9,Nuketown (feat. Juice WRLD),77,166400,1,"['Ski Mask The Slump God', 'Juice WRLD']","['2rhFzFmezpnW82MNqEKVry', '4MCBfE4596Uoi2O4DtmEMz']",2018-11-30,0.8079999999999999,0.617,10,-9.32,0,0.442,0.113,0.0,0.7340000000000001,0.632,149.96200000000002,4,2018,1
62,7eqyfMhC9tKXQ67pR0tMhU,March Of The Boyd's,1,190093,0,['Dizzy Gillespie'],['5RzjqfPS0Bu4bUMkyNNDpn'],1953-01-01,0.528,0.27899999999999997,10,-12.522,1,0.0372,0.956,0.106,0.132,0.4,74.538,4,1953,0
63,1Vchex0xowRj9k59RLvRfo,Tip Toe Thru' the Tulips with Me,52,110840,0,['Tiny Tim'],['0Nc79lkTxXLSIIHDB8mqJC'],1968,0.588,0.165,4,-20.076,1,0.0498,0.97,0.000117,0.20600000000000002,0.605,135.958,4,1968,0
64,2vq5mvLQF4U7kBENZx7Uqi,Where Do We Go From Here? - Remastered,20,230267,0,['The Band'],['4vpDg7Y7fU982Ds30zawDA'],1971,0.389,0.5579999999999999,11,-11.344000000000001,1,0.0351,0.0952,2e-06,0.22399999999999998,0.545,147.299,4,1971,0
65,5rzv9mo34xzPWHJZyysC05,The Song With No Name,31,246427,1,['Shane MacGowan & The Popes'],['2gRhYk5tJ3cGg63VmgUemN'],1994-10-17,0.308,0.43799999999999994,2,-10.477,1,0.0285,0.00028900000000000003,0.0010400000000000001,0.127,0.313,175.19400000000002,3,1994,0
66,650OeHTLxZAQmb4aEbGmaA,Good Goodbye (feat. Pusha T and Stormzy),64,211413,0,"['Linkin Park', 'Pusha T', 'Stormzy']","['6XyY86QOPPrYVGvF9ch6wz', '0ONHkAv9pCAFxb0zJwDNTy', '2SrSdSvpminqmStGELCSNd']",2017-05-19,0.6970000000000001,0.84,9,-4.602,0,0.054000000000000006,0.106,0.0,0.748,0.452,128.034,4,2017,1
67,5NDUXbMwcnTQp66tI2zcdR,Fresh Eyes,69,198001,0,['Andy Grammer'],['2oX42qP5ineK3hrhBECLmj'],2017-12-01,0.828,0.56,0,-6.685,1,0.0327,0.5479999999999999,3.66e-05,0.15,0.872,122.054,4,2017,1
68,04LUZsZlMfb2Yobz0xccx1,In The Mist She Was Standing,33,849507,0,['Opeth'],['0ybFZ2Ab08V8hueghSXm6E'],1995-05-01,0.188,0.961,9,-6.597,0,0.201,0.000135,0.21899999999999997,0.308,0.0517,141.05100000000002,4,1995,0
69,4SSVIZcB48DjqMfeVleKyX,Bien de al Lado,24,154907,0,"['Edu Lombardo', 'Pablo Routin']","['4kOVFf9P00PdvBt0HeIScM', '3r404iEzOwKxJrXGTGgU5b']",2006-12-12,0.509,0.9179999999999999,2,-3.766,1,0.0674,0.245,1.19e-06,0.0965,0.688,115.95299999999999,4,2006,0
70,285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,239836,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],2018-12-10,0.511,0.5660000000000001,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.90299999999999,4,2018,1
71,0zqmyB1prgGGiOS10sjH8A,"When They Fight, They Fight",59,200213,0,['Generationals'],['57MtJQ6Sc4tIxrXIhrqVJL'],2009-07-21,0.755,0.898,11,-2.051,0,0.0323,0.242,0.000145,0.14400000000000002,0.966,119.756,4,2009,0
72,6pi9nGtoblh7vRdGJ09nhE,Landed,4,308510,0,['Knightz Of Bass'],['5bMukNcgUgUNC7ixBR2qUa'],2010-11-19,0.8079999999999999,0.867,4,-7.39,1,0.149,0.0006,0.22699999999999998,0.0843,0.616,127.007,4,2010,1
73,5g5GOBG3mTODUxegwjK4VL,Ring,60,221538,1,['Fy'],['0WxSlQlue0fq99fXfGBmxA'],2021-02-14,0.825,0.461,5,-8.748,0,0.0595,0.408,0.0,0.095,0.48200000000000004,129.966,4,2021,1
74,4xUl7WroAwlKJ1gh1BT23y,Se kunnia,1,76747,0,['Mieskuoro'],['3Ho7GcJsfkOnWGDEZNWz7k'],1962,0.624,0.316,7,-10.079,1,0.05,0.946,0.000834,0.0793,0.47700000000000004,90.48100000000001,4,1962,0
75,1hoLUVBx0ixX3kn0EX0P5n,Kein Wort,65,162094,0,"['Juju', 'Loredana', 'Miksu / Macloud']","['4sg4no0TXdsrM1s4SVUwNF', '2Im8m4STDBosjfmb5hmP80', '76dRoxKtDwYkgCQePok9cU']",2020-01-16,0.746,0.5920000000000001,6,-6.861000000000001,0,0.0914,0.462,1.17e-05,0.187,0.629,160.065,4,2020,1
76,1LelRVFeca54zePv4r2SMs,Bodyguard - 2010 - Remaster,7,208360,0,['Tommy Seebach'],['4j8KP6LIyjhpM282XUhjoz'],1986,0.5770000000000001,0.852,5,-7.11,1,0.0361,0.00672,9.059999999999999e-05,0.0969,0.742,156.239,4,1986,0
77,7m4lI2eeH5di79PdLxDL0W,La Rompe Corazones,40,175611,0,['Grupo Mandingo'],['4t2n7CAdkDLgxGopKOAPyA'],1981,0.762,0.652,7,-6.638,1,0.0495,0.603,0.0,0.237,0.9620000000000001,152.001,4,1981,1
78,2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),90,155884,1,"['Saweetie', 'Doja Cat']","['6cK3NBO6uP7hh0oyuVELFl', '5cj0lLjcoR7YOSnhnX0Po5']",2021-01-07,0.84,0.7659999999999999,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.01799999999999,4,2021,1
79,2KAkkba3PaYFegfmYpUITv,Dans l'espace (feat. Heuss l'Enfoiré),62,169702,1,"['Gambi', ""Heuss L'enfoiré""]","['1lB3I3SI30v2ZOpR4XQqzJ', '3YwqjMyrRfuixi2pbgTGCE']",2020-01-17,0.9159999999999999,0.57,1,-6.278,1,0.18,0.0286,1.96e-06,0.0851,0.7,110.05,4,2020,1
80,7yBbV2k2S2uhaQc24NF2xt,Stupid Love,78,193533,0,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],2020-05-29,0.68,0.825,8,-4.296,1,0.0702,0.00173,0.000122,0.27,0.784,117.98700000000001,4,2020,1
81,2grjqo0Frpf2okIBiifQKs,September,81,215093,0,"['Earth, Wind & Fire']",['4QQgXkCYTt3BlENzhyNETg'],1978-11-23,0.6970000000000001,0.8320000000000001,9,-7.263999999999999,1,0.0298,0.168,0.00131,0.26899999999999996,0.9790000000000001,125.926,4,1978,1
82,4PTMTsehq45sg4k0W5sEQt,Ямакаси,40,219000,1,['GUF'],['0OCyDRYamSDX0nSnJ59W1u'],2007-04-30,0.632,0.64,6,-5.482,0,0.359,0.564,0.0,0.244,0.653,81.947,4,2007,0
83,2UAWYufVaO3EnUUNzl0ppO,CANGURO,68,196745,1,['WOS'],['5YCc6xS5Gpj3EkaYGdjyNK'],2019-10-04,0.602,0.7509999999999999,1,-4.3580000000000005,1,0.327,0.17300000000000001,0.0,0.667,0.934,163.87400000000002,4,2019,1
84,5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),73,210901,1,"['Zedd', 'Kehlani']","['2qxJFvFYMEDqd7ui6kSAcq', '0cGUm45nv7Z6M6qdXYQGTX']",2019-09-27,0.693,0.564,1,-3.8569999999999998,0,0.0378,0.39899999999999997,0.0,0.0409,0.574,185.91299999999998,3,2019,1
85,7wBJfHzpfI3032CSD7CE2m,STARGAZING,79,270715,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2018-08-03,0.48700000000000004,0.789,8,-3.69,1,0.044000000000000004,0.009470000000000001,4.05e-06,0.18899999999999997,0.0564,150.007,4,2018,1
86,6zFMeegAMYQo0mt8rXtrli,HOLIDAY,89,154998,1,['Lil Nas X'],['7jVv8c5Fj3E9VhNjxT4snq'],2020-11-13,0.81,0.511,5,-6.9239999999999995,0,0.16399999999999998,0.12,0.0,0.0832,0.8370000000000001,151.947,4,2020,1
87,4x6yZSiBpkfZKem7WuGGE0,Burning,38,313000,0,['Accept'],['3JDIAtVrJdQ7GFOX26LYpv'],1981,0.142,0.937,4,-9.889,1,0.109,0.000354,0.00521,0.405,0.45899999999999996,171.31900000000002,4,1981,1
88,1rCcsYnmqbMYdkG7kS9GC5,Speechless (feat. Erika Sirola),71,214942,0,"['Robin Schulz', 'Erika Sirola']","['3t5xRXzsuZmMDkQzgOX35S', '1OHw2r7Diz2rc9JktaFV6N']",2018-11-16,0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,125.04700000000001,4,2018,1
89,30Zcjs7pgEkmJA1lEbGSWT,FML,68,236120,1,['Kanye West'],['5K4W6rqBFWDnAN6FQUkS6x'],2016-06-10,0.527,0.415,5,-7.184,1,0.131,0.32899999999999996,0.0,0.195,0.12,125.35700000000001,4,2016,1
