Rank,Track,Artist,Streams,Link,Week,Album_Name,Duration_MS,Explicit,Track_Number_on_Album,Artist_Followers,Artist_Genres
32,Something Just Like This,The Chainsmokers,11420221,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-08-25,Memories...Do Not Open,247160,False,5,17742887,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
33,Your Song,Rita Ora,11325418,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5,2017-08-25,Your Song,180757,False,1,6545869,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']"
34,Congratulations,Post Malone,11243011,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2017-08-25,Stoney (Deluxe),220293,True,12,32192178,"['dfw rap', 'melodic rap', 'rap']"
35,Believer,Imagine Dragons,10720579,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,2017-08-25,Evolve,204346,False,3,33692509,"['modern rock', 'rock']"
36,Despacito (Featuring Daddy Yankee),Luis Fonsi,10664188,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-08-25,Despacito (Featuring Daddy Yankee),228200,False,1,9350913,"['latin', 'latin pop', 'puerto rican pop', 'tropical']"
37,Slow Hands,Niall Horan,10635980,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh,2017-08-25,Slow Hands,188174,False,1,7117788,"['dance pop', 'pop', 'post-teen pop']"
38,Lonely Together (feat. Rita Ora),Avicii,10447074,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab,2017-08-25,AVĪCI (01),181812,False,2,19551600,"['dance pop', 'edm', 'pop', 'pop dance']"
39,Young Dumb & Broke,Khalid,10404701,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-08-25,American Teen,202546,False,2,13736355,"['alternative r&b', 'pop']"
40,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,9896496,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH,2017-08-25,Know No Better (feat. Quavo),225849,False,1,6184098,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']"
41,Una Lady Como Tú,Manuel Turizo,9785844,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF,2017-08-25,Una Lady Como Tú,213026,False,1,7270112,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']"
42,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,9706074,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2017-08-25,Pretty Girl (Cheat Codes X CADE Remix),193613,True,1,1437514,"['alt z', 'dance pop', 'indie poptimism', 'pop', 'post-teen pop', 'social media pop']"
43,BUTTERFLY EFFECT,Travis Scott,9648330,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,2017-08-25,BUTTERFLY EFFECT,190677,False,1,16143636,"['rap', 'slap house']"
44,Escápate Conmigo,Wisin,9612006,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2017-08-25,Escápate Conmigo,232786,False,1,6599736,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
45,Bonita,J Balvin,9583163,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v,2017-08-25,Bonita,265746,False,1,27317844,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
46,Bodak Yellow,Cardi B,9343953,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2017-08-25,Bodak Yellow,223962,True,1,15813726,"['pop', 'pop rap', 'post-teen pop', 'rap']"
47,That's What I Like,Bruno Mars,9230883,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-08-25,24K Magic,206693,False,4,29942000,"['dance pop', 'pop', 'post-teen pop']"
48,Praying,Kesha,9202439,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA,2017-08-25,Rainbow,230266,False,5,6301216,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
49,Symphony (feat. Zara Larsson),Clean Bandit,9178292,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,2017-08-25,Symphony (feat. Zara Larsson),212459,False,1,4296325,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
50,No Promises (feat. Demi Lovato),Cheat Codes,8911773,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-08-25,No Promises (feat. Demi Lovato),223503,False,1,1839276,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']"
51,1-800-273-8255,Logic,8251255,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2017-08-25,Everybody,250173,True,10,5304761,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
52,Rich Love (with Seeb),OneRepublic,8199100,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD,2017-08-25,Rich Love,201256,False,1,11648310,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'post-teen pop']"
53,Location,Khalid,8114608,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-08-25,American Teen,219080,False,3,13736355,"['alternative r&b', 'pop']"
54,Feel It Still,Portugal. The Man,7976288,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK,2017-08-25,Woodstock,163253,False,4,1217767,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
55,What About Us,P!nk,7821134,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv,2017-08-25,What About Us,271519,False,1,10754333,"['dance pop', 'pop', 'post-teen pop']"
56,Stay (with Alessia Cara),Zedd,7710298,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,2017-08-25,Stay,210090,False,1,5428961,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']"
57,Would You Ever,Skrillex,7646276,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r,2017-08-25,Would You Ever,234285,False,1,7791193,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']"
58,Ahora Dice,Chris Jedi,7555935,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy,2017-08-25,Ahora Dice,271080,False,1,1527368,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
59,Redbone,Childish Gambino,7511253,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2017-08-25,"""Awaken, My Love!""",326933,True,6,7723151,"['atl hip hop', 'hip hop', 'pop rap', 'rap']"
60,Mask Off,Future,7204145,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,2017-08-25,FUTURE,204600,True,7,10104988,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
61,It Ain't Me (with Selena Gomez),Kygo,6900381,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-08-25,It Ain't Me (with Selena Gomez),220780,False,1,7372033,"['edm', 'pop', 'pop dance', 'tropical house']"
